ISO3_code,Location,Time,n_male_dependent,n_male_working,n_female_dependent,n_female_working,n_total_dependent,n_total_working,r_male_dependent,r_male_working,r_female_dependent,r_female_working,r_total_dependent,r_total_working,time_period
AUS,Australia,2035,5207854,9310706,5484050,9219786,10691904,18530492,0.5593403980321149,1.7878200886583993,0.5948131550992616,1.6812002078755663,0.5769897528894539,1.7331330322457064,projected
AUS,Australia,2036,5268681,9356333,5558088,9253352,10826769,18609685,0.5631138823297546,1.775839721554598,0.6006567133726243,1.6648444573025833,0.5817814218779093,1.718858599458435,projected
AUS,Australia,2037,5330917,9398655,5633119,9283902,10964036,18682557,0.5671999876578084,1.7630465827924164,0.606762005889334,1.6480926463651844,0.5868594968022846,1.7039853754584535,projected
AUS,Australia,2038,5388596,9444315,5701242,9319779,11089838,18764094,0.5705650436267743,1.7526485563215355,0.6117357503863557,1.6346927564204432,0.5910137734334522,1.6920079445705158,projected
AUS,Australia,2039,5440987,9493323,5761870,9360948,11202857,18854271,0.5731382994131771,1.7447795776758885,0.6155220603725178,1.6246371403728304,0.5941813926404261,1.6829877414306011,projected
AUS,Australia,2040,5489206,9545232,5816536,9406297,11305742,18951529,0.5750730836086541,1.7389094160430487,0.6183661859709512,1.6171647523543222,0.5965609423915084,1.6762746752933153,projected
AUS,Australia,2041,5534144,9599059,5866977,9454116,11401121,19053175,0.5765298452692083,1.7345155818135558,0.620573832603704,1.6114118054323376,0.5983843112762046,1.6711668089479974,projected
AUS,Australia,2042,5577631,9653184,5915090,9502395,11492721,19155579,0.5778022049512369,1.730696060746937,0.6224841211084153,1.60646668098034,0.5999672993439665,1.6667575067732003,projected
AUS,Australia,2043,5620942,9707020,5962678,9550115,11583620,19257135,0.5790594847852378,1.7269382961076631,0.62435667005057,1.6016486216428256,0.6015235391972898,1.6624453322881791,projected
AUS,Australia,2044,5666048,9758084,6011767,9594937,11677815,19353021,0.5806516935086846,1.7222028475579454,0.6265561722812771,1.596026093492978,0.6034104442918756,1.657246753780566,projected
AUS,Australia,2045,5715527,9803757,6064676,9634489,11780203,19438246,0.5829935401295646,1.7152848722436267,0.6294756265744867,1.5886238605326977,0.6060322006419715,1.6500773373769535,projected
